name,url,original_price,current_price,rating,orders,thumbnail,scrape_time
Face ID Laptop 16 Inch IPS Screen 16GB RAM 32GB Intel 11th N95 Netbook Windows 11 Pro Office Notebook RGB Keyboard Portable Pc,https://www.aliexpress.com/item/1005009402717004.html?algo_pvid=7761243d-9b3c-4872-b83e-5bc50d412fca&algo_exp_id=7761243d-9b3c-4872-b83e-5bc50d412fca-0&pdp_ext_f=%7B%22order%22%3A%2224%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%214654.84%212327.42%21%21%21473.78%21236.89%21%402103917f17544728974687091e2649%2112000049222717448%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=TcRccFMjdnxV&utparam-url=scene%3Asearch%7Cquery_from%3A,4654.84,2327.42,5,24 sold,https://ae-pic-a1.aliexpress-media.com/kf/S7eadf05173c64c5baffbcc921f99ef30A.jpg_480x480q75.jpg_.avif,2025-08-06T10:35:23.110545
GMOLO 14inch Windows 10 Notebook Laptop 6GB RAM 64GB +128GB/256GB SSD USB 3.0 WiFi Bluetooth Camera Thin Ultrabook Cheap Netbook,https://www.aliexpress.com/item/4000528554038.html?algo_pvid=7761243d-9b3c-4872-b83e-5bc50d412fca&algo_exp_id=7761243d-9b3c-4872-b83e-5bc50d412fca-1&pdp_ext_f=%7B%22order%22%3A%2222%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%214372.08%211355.34%21%21%21445.00%21137.95%21%402103917f17544728974687091e2649%2112000025781764978%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=CCuGcoCuI2NG&utparam-url=scene%3Asearch%7Cquery_from%3A,4372.08,1355.34,4.4,22 sold,https://ae-pic-a1.aliexpress-media.com/kf/Haef88ec24763401e86cfebf0c8d00b80t.jpg_480x480q75.jpg_.avif,2025-08-06T10:35:23.468245
15.6 Inch Amd Ryzen Gaming Laptops Notebook Computer Fingerprint Portable Computers Gamer AMD Ryzen 7 2700U RX Vega10,https://www.aliexpress.com/item/1005009405082570.html?algo_pvid=7761243d-9b3c-4872-b83e-5bc50d412fca&algo_exp_id=7761243d-9b3c-4872-b83e-5bc50d412fca-2&pdp_ext_f=%7B%22order%22%3A%2213%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%213379.77%213379.77%21%21%21344.00%21344.00%21%402103917f17544728974687091e2649%2112000049548237664%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=l8urWP3aLi8u&utparam-url=scene%3Asearch%7Cquery_from%3A,3379.77,3379.77,5,13 sold,https://ae-pic-a1.aliexpress-media.com/kf/S4bf6eea8068944b5a91016ce6b7c2122X.jpg_480x480q75.jpg_.avif,2025-08-06T10:35:23.792929
"ZEUSLAP 16"" Portable Monitor 100%sRGB 1200P IPS Screen Travel Gaming Computer Display for Steam Deck Laptop Switch PS4 PS5 Xbox",https://www.aliexpress.com/item/1005006384153003.html?aem_p4p_detail=2025080602345711229218582242600001708650&algo_pvid=7761243d-9b3c-4872-b83e-5bc50d412fca&algo_exp_id=7761243d-9b3c-4872-b83e-5bc50d412fca-3&pdp_ext_f=%7B%22order%22%3A%221483%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%212571.62%211877.28%21%21%211882.59%211374.29%21%402103917f17544728974687091e2649%2112000036982128029%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=Hliy5GUxDQWy&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=2025080602345711229218582242600001708650_1,2571.62,1877.28,4.8,"1,000+ sold",https://ae-pic-a1.aliexpress-media.com/kf/S1c2b3ed962d4403f87ed359e8aa00776B.jpg_480x480q75.jpg_.avif,2025-08-06T10:35:24.081585
FIREBAT A14 Laptop Intel N5095 14.1 Inch 16GB LPDDR4 RAM 512GB 1TB SSD Lightweight Business Computer Notebook FHD Fingerprint,https://www.aliexpress.com/item/1005006213726994.html?algo_pvid=7761243d-9b3c-4872-b83e-5bc50d412fca&algo_exp_id=7761243d-9b3c-4872-b83e-5bc50d412fca-4&pdp_ext_f=%7B%22order%22%3A%22147%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%217827.23%213600.53%21%21%215730.04%212635.82%21%402103917f17544728974687091e2649%2112000036310274024%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=CmRxZ25dxi9F&utparam-url=scene%3Asearch%7Cquery_from%3A,7827.23,3600.53,4.6,147 sold,https://ae-pic-a1.aliexpress-media.com/kf/S1a9232dd2aec472fab4882da25cff3bbj.jpg_480x480q75.jpg_.avif,2025-08-06T10:35:24.358476
"CHUWI MiniBook X Laptop Tablet 2 In 1 Intel N150 CPU 10.51"" FHD IPS Screen 12GB LPDDR5 512G SSD Windows 11 Notebook 1200*1920",https://www.aliexpress.com/item/1005006966209849.html?algo_pvid=7761243d-9b3c-4872-b83e-5bc50d412fca&algo_exp_id=7761243d-9b3c-4872-b83e-5bc50d412fca-5&pdp_ext_f=%7B%22order%22%3A%222381%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006966209849%22%2C%22orig_item_id%22%3A%221005006006600746%22%7D&pdp_npi=6%40dis%21MAD%2111490.05%215285.42%21%21%218411.46%213869.27%21%402103917f17544728974687091e2649%2112000038883204814%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=zcv9JUutDIUQ&utparam-url=scene%3Asearch%7Cquery_from%3A,11490.05,5285.42,4.9,"2,000+ sold",https://ae-pic-a1.aliexpress-media.com/kf/S6ee39acb850142ec84351b78cae22e18c.jpg_480x480q75.jpg_.avif,2025-08-06T10:35:24.656086
Lenovo Laptop Xiaoxin 14SE(14C) 2025 14” Ryzen 7-8745H/I5-13420H 16G DDR5(Scalable）512GB/1TB/2TB SSD Slim laptop Notebook PC,https://www.aliexpress.com/item/1005009656095777.html?algo_pvid=7761243d-9b3c-4872-b83e-5bc50d412fca&algo_exp_id=7761243d-9b3c-4872-b83e-5bc50d412fca-6&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%219362.56%217490.05%21%21%216854.00%215483.20%21%402103917f17544728974687091e2649%2112000049785750189%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=iG2fWrJ7AV9R&utparam-url=scene%3Asearch%7Cquery_from%3A,9362.56,7490.05,N/A,N/A,https://ae-pic-a1.aliexpress-media.com/kf/S42bc11af98554becac7294b281c57f9bg.jpg_480x480q75.jpg_.avif,2025-08-06T10:35:24.880602
CHUWI GemiBook XPro Laptop 8GB LPDDR5 256GB SSD Intel N100/N150 UHD Graphics 12th Gen 14.1'' FHD 1920*1080 Windows 11 Laptops,https://www.aliexpress.com/item/1005006380647329.html?aem_p4p_detail=2025080602345711229218582242600001708650&algo_pvid=7761243d-9b3c-4872-b83e-5bc50d412fca&algo_exp_id=7761243d-9b3c-4872-b83e-5bc50d412fca-7&pdp_ext_f=%7B%22order%22%3A%2237%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%213241.48%212269.04%21%21%212372.97%211661.08%21%402103917f17544728974687091e2649%2112000049599969670%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=KhrYRarR95At&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=2025080602345711229218582242600001708650_2,3241.48,2269.04,5,37 sold,https://ae-pic-a1.aliexpress-media.com/kf/Sd2cd74fbbe0f4098b21a77e2865ca9b00.png_480x480.png_.avif,2025-08-06T10:35:25.138664
CARBAYTA 360 Degree Rotating IPS Touch Screen Laptop 14.1 Inch Intel N95 RAM 16GB Windows 11 Portable PC Notebook 4 In 1 Laptop,https://www.aliexpress.com/item/1005009606850455.html?algo_pvid=7761243d-9b3c-4872-b83e-5bc50d412fca&algo_exp_id=7761243d-9b3c-4872-b83e-5bc50d412fca-8&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%216733.99%213367.00%21%21%21685.40%21342.70%21%402103917f17544728974687091e2649%2112000049612061194%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=5VUMhcQUjrSJ&utparam-url=scene%3Asearch%7Cquery_from%3A,6733.99,3367.0,N/A,N/A,https://ae-pic-a1.aliexpress-media.com/kf/S4f3865a6feef4ccaad9bdef16015ea8a3.jpg_480x480q75.jpg_.avif,2025-08-06T10:35:25.328380
"Facial Recognition Intel Notebook N5095 16"" Laptop 16GB 32GB RAM Max 2TB ROM Windows 11 Pro Wifi 5 BT 4.2 RGB Keyboard Face ID",https://www.aliexpress.com/item/1005009534232374.html?algo_pvid=7761243d-9b3c-4872-b83e-5bc50d412fca&algo_exp_id=7761243d-9b3c-4872-b83e-5bc50d412fca-9&pdp_ext_f=%7B%22order%22%3A%2222%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%212407.00%211925.58%21%21%21244.99%21195.99%21%402103917f17544728974687091e2649%2112000049388894593%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=jXUWnUCNq0jn&utparam-url=scene%3Asearch%7Cquery_from%3A,2407.0,1925.58,5,22 sold,https://ae-pic-a1.aliexpress-media.com/kf/S463e0673a5624dc791f26c17a9ebdd32q.jpg_480x480q75.jpg_.avif,2025-08-06T10:35:25.575141
