name,url,original_price,current_price,rating,orders,thumbnail,scrape_time
"SERVO 16SE Mini Smartphone 16GB ROM Android 9.0 Wifi Dual SIM Standby Play Store 3G WCDMA 3.0""Little Smart Cellphone New Version",https://www.aliexpress.com/item/1005007667149017.html?algo_pvid=519c1f7d-5b3e-4966-8a57-a98eb813bfbc&algo_exp_id=519c1f7d-5b3e-4966-8a57-a98eb813bfbc-0&pdp_ext_f=%7B%22order%22%3A%222862%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%211116.19%21479.96%21%21%21817.12%21351.36%21%40211b816617544731153936800e959c%2112000041768386830%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=C3pB59YXPDc8&utparam-url=scene%3Asearch%7Cquery_from%3A,1116.19,479.96,4.5,"2,000+ sold",https://ae-pic-a1.aliexpress-media.com/kf/S6024968d82d34137a6527b3f5e481e61r.jpg_480x480q75.jpg_.avif,2025-08-06T10:38:58.036285
SOYES S23 Pro Mini Smartphones Android 8.1 Dual SIM 3.0'' HD 1000mAh Battery WIFI Bluetooth 3G Small Mobile Phone,https://www.aliexpress.com/item/1005006863910082.html?algo_pvid=519c1f7d-5b3e-4966-8a57-a98eb813bfbc&algo_exp_id=519c1f7d-5b3e-4966-8a57-a98eb813bfbc-1&pdp_ext_f=%7B%22order%22%3A%22979%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006863910082%22%2C%22orig_item_id%22%3A%221005006177200517%22%7D&pdp_npi=6%40dis%21MAD%211002.21%21481.07%21%21%21733.68%21352.17%21%40211b816617544731153936800e959c%2112000038553120783%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=lGXIDrrUgXPC&utparam-url=scene%3Asearch%7Cquery_from%3A,1002.21,481.07,4.9,900+ sold,https://ae-pic-a1.aliexpress-media.com/kf/S373bb27b57d74c6c9a106dfe61572d6a9.jpg_480x480q75.jpg_.avif,2025-08-06T10:38:58.214626
Xiaomi Redmi 9A Global Rom Smartphone 64GB/128GB Cellphone 5000mAh 6.53 inch MTK Helio G25 Octa Core 13MP Smart phone CN Version,https://www.aliexpress.com/item/1005007501276806.html?algo_pvid=519c1f7d-5b3e-4966-8a57-a98eb813bfbc&algo_exp_id=519c1f7d-5b3e-4966-8a57-a98eb813bfbc-2&pdp_ext_f=%7B%22order%22%3A%22961%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%21847.89%21474.84%21%21%2186.30%2148.33%21%40211b816617544731153936800e959c%2112000041041920881%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=HOTZkaGP4a9h&utparam-url=scene%3Asearch%7Cquery_from%3A,847.89,474.84,4.4,900+ sold,https://ae-pic-a1.aliexpress-media.com/kf/S99f816dbb8e546408d0abeb696a34cc88.png_480x480.png_.avif,2025-08-06T10:38:58.391265
Original Xiaomi Redmi 8 4GB+64GB 4700 mAh Smartphone Dual SIM 6.22'' 12MP+2MP+8MP Snapdragon 439 Octa-Core 4G LTE Mobile Phone,https://www.aliexpress.com/item/1005007501128446.html?algo_pvid=519c1f7d-5b3e-4966-8a57-a98eb813bfbc&algo_exp_id=519c1f7d-5b3e-4966-8a57-a98eb813bfbc-4&pdp_ext_f=%7B%22order%22%3A%22279%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%21689.02%21413.43%21%21%2170.13%2142.08%21%40211b816617544731153936800e959c%2112000041040700900%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=NTz9bHksxDjL&utparam-url=scene%3Asearch%7Cquery_from%3A,689.02,413.43,4.3,279 sold,https://ae-pic-a1.aliexpress-media.com/kf/S2ef5227d436c4c8ba38f1a47cd263af9f.png_480x480.png_.avif,2025-08-06T10:38:58.601103
HONOR 10 Lite smartphone Global firmware 6.21-inch battery 3400mAh CPU HiSilicon Qilin 710 EMUI 9.0.1 used phone,https://www.aliexpress.com/item/1005009453487338.html?algo_pvid=519c1f7d-5b3e-4966-8a57-a98eb813bfbc&algo_exp_id=519c1f7d-5b3e-4966-8a57-a98eb813bfbc-5&pdp_ext_f=%7B%22order%22%3A%2232%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%211710.97%21769.93%21%21%211252.54%21563.64%21%40211b816617544731153936800e959c%2112000049151762970%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=lA0kHzuh3SAf&utparam-url=scene%3Asearch%7Cquery_from%3A,1710.97,769.93,4.8,32 sold,https://ae-pic-a1.aliexpress-media.com/kf/S8ce3d053de55403e894c40d909a756d83.jpg_480x480q75.jpg_.avif,2025-08-06T10:38:58.774041
SOYES XS19 Pro Mini SmartPhone Android 12 3.0‘’ Display Dual SIM Standby 4G Mobile Phone Wifi GPS 1950mAh Battery WiFi MT6762,https://www.aliexpress.com/item/1005009127718597.html?algo_pvid=519c1f7d-5b3e-4966-8a57-a98eb813bfbc&algo_exp_id=519c1f7d-5b3e-4966-8a57-a98eb813bfbc-6&pdp_ext_f=%7B%22order%22%3A%2238%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%211692.53%21744.72%21%21%211239.04%21545.18%21%40211b816617544731153936800e959c%2112000048016316848%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=98R3VURsJnrP&utparam-url=scene%3Asearch%7Cquery_from%3A,1692.53,744.72,5,38 sold,https://ae-pic-a1.aliexpress-media.com/kf/S3d5660d5cab84082adebdb946fabc0a8J.png_480x480.png_.avif,2025-08-06T10:38:58.951167
Screen Protector For Android Cell Mobile Phone 22GB+2TB Film For SMS 24 Ultra Cellphones 7800mAh Smartphone Protection Films,https://www.aliexpress.com/item/1005009613907011.html?aem_p4p_detail=202508060238356919451487047020001713879&algo_pvid=519c1f7d-5b3e-4966-8a57-a98eb813bfbc&algo_exp_id=519c1f7d-5b3e-4966-8a57-a98eb813bfbc-7&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%21400.06%21400.06%21%21%21292.87%21292.87%21%40211b816617544731153936800e959c%2112000049634361502%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=9YQWFQV4XUdZ&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202508060238356919451487047020001713879_2,400.06,400.06,N/A,N/A,https://ae-pic-a1.aliexpress-media.com/kf/S8b4738b4d48c459cbe928b84ad4fd1f4v.jpg_480x480q75.jpg_.avif,2025-08-06T10:38:59.107058
"Original iPhone 13 128GB/256GB ROM Unlocked A15 Chip IOS 5G Smartphone Face ID 6.1"" OLED Screen iphone 13 cellphone",https://www.aliexpress.com/item/1005005052340322.html?algo_pvid=519c1f7d-5b3e-4966-8a57-a98eb813bfbc&algo_exp_id=519c1f7d-5b3e-4966-8a57-a98eb813bfbc-8&pdp_ext_f=%7B%22order%22%3A%22352%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%215488.19%213237.99%21%21%21558.60%21329.57%21%40211b816617544731153936800e959c%2112000047065760576%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=EXmBjdrZapBF&utparam-url=scene%3Asearch%7Cquery_from%3A,5488.19,3237.99,4.5,352 sold,https://ae-pic-a1.aliexpress-media.com/kf/S84e1e5e448304faa820dc780d17a139em.png_480x480.png_.avif,2025-08-06T10:38:59.300965
HUAWEI Y9S smartphone 4G LTE 6.59'' 2340 x 1080 pixel 4000mAh battery capacity Global firmware Kirin 710F Original used phone,https://www.aliexpress.com/item/1005008888317687.html?algo_pvid=519c1f7d-5b3e-4966-8a57-a98eb813bfbc&algo_exp_id=519c1f7d-5b3e-4966-8a57-a98eb813bfbc-9&pdp_ext_f=%7B%22order%22%3A%2249%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%212603.21%211197.47%21%21%211905.72%21876.63%21%40211b816617544731153936800e959c%2112000047088828361%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=eD0gXP3SHxA6&utparam-url=scene%3Asearch%7Cquery_from%3A,2603.21,1197.47,4.4,49 sold,https://ae-pic-a1.aliexpress-media.com/kf/Seb485c0d23ac4fa896f7f6b3d1f7fc741.jpg_480x480q75.jpg_.avif,2025-08-06T10:38:59.495000
HONOR 8X Smartphone Global firmware CPU Haisi Qilin 710 6.5-inch 3750mAh rear camera 20MP used phone,https://www.aliexpress.com/item/1005008430045422.html?algo_pvid=519c1f7d-5b3e-4966-8a57-a98eb813bfbc&algo_exp_id=519c1f7d-5b3e-4966-8a57-a98eb813bfbc-10&pdp_ext_f=%7B%22order%22%3A%226017%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008430045422%22%2C%22orig_item_id%22%3A%221005007398010412%22%7D&pdp_npi=6%40dis%21MAD%211833.69%21880.17%21%21%211342.38%21644.34%21%40211b816617544731153936800e959c%2112000045059604857%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=E3xCf605aLEe&utparam-url=scene%3Asearch%7Cquery_from%3A,1833.69,880.17,4.9,"5,000+ sold",https://ae-pic-a1.aliexpress-media.com/kf/Se72ce7ac2ee74a4cb182b6afe94442b3q.jpg_480x480q75.jpg_.avif,2025-08-06T10:38:59.667690
