name,url,original_price,current_price,rating,orders,thumbnail,scrape_time
New Cartoon Pattern Kids Tablet 7 Inch Quad Core 4GB RAM 64GB ROM Android Learning Education Games Tablets Children's Gifts,https://www.aliexpress.com/item/1005008208697619.html?algo_pvid=05c21742-5f89-4d2c-8d99-30d8a7a7ff27&algo_exp_id=05c21742-5f89-4d2c-8d99-30d8a7a7ff27-0&pdp_ext_f=%7B%22order%22%3A%22610%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%211016.97%21600.01%21%21%21744.49%21439.25%21%40211b813b17544733179027334e4ddb%2112000044240100892%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=ghzReZWMbr2K&utparam-url=scene%3Asearch%7Cquery_from%3A,1016.97,600.01,4.3,600+ sold,https://ae-pic-a1.aliexpress-media.com/kf/S4179a4cf902243c1871c58579717cdfcH.jpg_480x480q75.jpg_.avif,2025-08-06T10:42:19.347008
New 10.1 Inch Tablets Octa Core 4GB RAM 64GB ROM Dual SIM Cards 3G Phone Call WiFi Bluetooth Google Play Tablet Pc Android 13,https://www.aliexpress.com/item/1005008054472880.html?algo_pvid=05c21742-5f89-4d2c-8d99-30d8a7a7ff27&algo_exp_id=05c21742-5f89-4d2c-8d99-30d8a7a7ff27-1&pdp_ext_f=%7B%22order%22%3A%221696%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%21878.84%21878.84%21%21%2189.45%2189.45%21%40211b813b17544733179027334e4ddb%2112000044706674921%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=fguzDTeACGWb&utparam-url=scene%3Asearch%7Cquery_from%3A,878.84,878.84,4.6,"1,000+ sold",https://ae-pic-a1.aliexpress-media.com/kf/S5f80dae25fec42d18e9e5154fb7734db4.jpg_480x480q75.jpg_.avif,2025-08-06T10:42:19.567855
"BDF 7 Inch Kid Tablet Android 13, 4GB RAM 64GB ROM,1TB Expand,5G WiFi,4000MAH Battery,Dual Camera, Children's Gift Kids Software",https://www.aliexpress.com/item/1005007171705033.html?algo_pvid=05c21742-5f89-4d2c-8d99-30d8a7a7ff27&algo_exp_id=05c21742-5f89-4d2c-8d99-30d8a7a7ff27-2&pdp_ext_f=%7B%22order%22%3A%228959%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007171705033%22%2C%22orig_item_id%22%3A%221005006429762233%22%7D&pdp_npi=6%40dis%21MAD%211308.90%21628.28%21%21%21958.20%21459.94%21%40211b813b17544733179027334e4ddb%2112000039693735196%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=4LsFwo3vbH0O&utparam-url=scene%3Asearch%7Cquery_from%3A,1308.9,628.28,4.9,"5,000+ sold",https://ae-pic-a1.aliexpress-media.com/kf/S0316c34bfac54b539305c763d9122162U.jpg_480x480q75.jpg_.avif,2025-08-06T10:42:19.778865
XPPen 7*4.3 Inch 16K Pressure Level Graphics Tablet Deco Mini7 V2 Digital Drawing Tablet 8 Keys for Android Mac Windows Chrome,https://www.aliexpress.com/item/4001249520597.html?aem_p4p_detail=2025080602415711315539883520880001717558&algo_pvid=05c21742-5f89-4d2c-8d99-30d8a7a7ff27&algo_exp_id=05c21742-5f89-4d2c-8d99-30d8a7a7ff27-3&pdp_ext_f=%7B%22order%22%3A%22867%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%211350.83%21337.69%21%21%21137.49%2134.37%21%40211b813b17544733179027334e4ddb%2112000039157655669%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=WOAjkmaucq62&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=2025080602415711315539883520880001717558_1,1350.83,337.69,4.9,800+ sold,https://ae-pic-a1.aliexpress-media.com/kf/Saf141eecfaab4263ac1ac898cfe970e1E.jpg_480x480q75.jpg_.avif,2025-08-06T10:42:19.997280
"PRITOM TAB11 Android 14 Tablet 10 Inch, 8GB(4+4 Expand) RAM + 128GB ROM, Octa Core, 5G WiFi, with Keyboard, Mouse, Case",https://www.aliexpress.com/item/1005007171448278.html?algo_pvid=05c21742-5f89-4d2c-8d99-30d8a7a7ff27&algo_exp_id=05c21742-5f89-4d2c-8d99-30d8a7a7ff27-4&pdp_ext_f=%7B%22order%22%3A%224527%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007171448278%22%2C%22orig_item_id%22%3A%221005006919353671%22%7D&pdp_npi=6%40dis%21MAD%213247.15%211558.64%21%21%212377.12%211141.02%21%40211b813b17544733179027334e4ddb%2112000039693197548%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=sFOYVauSQYer&utparam-url=scene%3Asearch%7Cquery_from%3A,3247.15,1558.64,4.9,4000+ sold,https://ae-pic-a1.aliexpress-media.com/kf/S385a8ea6b4924caa9640aa81e275852cp.jpg_480x480q75.jpg_.avif,2025-08-06T10:42:20.256928
"PRITOM 8 Inch Tablet Android 13, 8GB(4+4 Expand) RAM 64GB ROM,1TB Expand,1280x800 IPS Screen 5000MAH Battery,Dual Camera, WiFi",https://www.aliexpress.com/item/1005007540096316.html?algo_pvid=05c21742-5f89-4d2c-8d99-30d8a7a7ff27&algo_exp_id=05c21742-5f89-4d2c-8d99-30d8a7a7ff27-5&pdp_ext_f=%7B%22order%22%3A%223840%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007540096316%22%2C%22orig_item_id%22%3A%221005005968674995%22%7D&pdp_npi=6%40dis%21MAD%211997.26%21958.69%21%21%211462.12%21701.82%21%40211b813b17544733179027334e4ddb%2112000041213075851%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=5IfvVzcKd51z&utparam-url=scene%3Asearch%7Cquery_from%3A,1997.26,958.69,4.9,3000+ sold,https://ae-pic-a1.aliexpress-media.com/kf/S2a9d6fffd505451f8d997dcadd1b90faB.jpg_480x480q75.jpg_.avif,2025-08-06T10:42:20.465402
BDF Android 10.1 Inch Tablet Pc Google Play Octa Core Dual Cameras Dual SIM 3G Phone Call Tablets Bluetooth Wifi 4GB+ 64GB ROM,https://www.aliexpress.com/item/1005007544687399.html?algo_pvid=05c21742-5f89-4d2c-8d99-30d8a7a7ff27&algo_exp_id=05c21742-5f89-4d2c-8d99-30d8a7a7ff27-6&pdp_ext_f=%7B%22order%22%3A%22861%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%21867.24%21867.24%21%21%2188.27%2188.27%21%40211b813b17544733179027334e4ddb%2112000041233542051%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=ETZaLU0IpcOt&utparam-url=scene%3Asearch%7Cquery_from%3A,867.24,867.24,4.3,800+ sold,https://ae-pic-a1.aliexpress-media.com/kf/Sc8cb05bacf364f8b97c1774277559958H.jpg_480x480q75.jpg_.avif,2025-08-06T10:42:20.696280
"GAOMON S620 6.5 x 4"" Digital Graphic Tablet for Drawing Painting&Game OSU, 8192 Level Pen Tablet Support Android/Windows/Mac OS",https://www.aliexpress.com/item/33002700281.html?aem_p4p_detail=2025080602415711315539883520880001717558&algo_pvid=05c21742-5f89-4d2c-8d99-30d8a7a7ff27&algo_exp_id=05c21742-5f89-4d2c-8d99-30d8a7a7ff27-7&pdp_ext_f=%7B%22order%22%3A%22151%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%21491.15%21392.90%21%21%2149.99%2139.99%21%40211b813b17544733179027334e4ddb%2167022086121%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=tWmNbf5DWtSx&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=2025080602415711315539883520880001717558_2,491.15,392.9,4.9,151 sold,https://ae-pic-a1.aliexpress-media.com/kf/HTB1.H1CRwHqK1RjSZFPq6AwapXaz.jpg_480x480q75.jpg_.avif,2025-08-06T10:42:21.026721
New 5G Pad 10.1 Inch Android Tablets Octa Core 8GB RAM 512GB ROM 4G LTE 5G WiFi Tablet Pc Double SIM Card HD Display 8000mAh,https://www.aliexpress.com/item/1005005657928672.html?algo_pvid=05c21742-5f89-4d2c-8d99-30d8a7a7ff27&algo_exp_id=05c21742-5f89-4d2c-8d99-30d8a7a7ff27-8&pdp_ext_f=%7B%22order%22%3A%22177%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%211329.11%211329.11%21%21%21135.28%21135.28%21%40211b813b17544733179027334e4ddb%2112000033916214018%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=H4LliXNQba9M&utparam-url=scene%3Asearch%7Cquery_from%3A,1329.11,1329.11,4.5,177 sold,https://ae-pic-a1.aliexpress-media.com/kf/S06da75dfd4a54edc9e11694c1dfed6b1x.jpg_480x480q75.jpg_.avif,2025-08-06T10:42:21.343385
8.5/ 12 inch Writing Board Drawing Tablet LCD Screen Writing Digital Graphic Tablets Electronic Handwriting Pad Toys Gifts Child,https://www.aliexpress.com/item/1005007038556280.html?algo_pvid=05c21742-5f89-4d2c-8d99-30d8a7a7ff27&algo_exp_id=05c21742-5f89-4d2c-8d99-30d8a7a7ff27-9&pdp_ext_f=%7B%22order%22%3A%22798%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21MAD%21130.67%2191.47%21%21%2195.66%2166.96%21%40211b813b17544733179027334e4ddb%2112000039240499445%21sea%21MA%210%21ABX%211%210%21&curPageLogUid=l67jmwYw0Uc7&utparam-url=scene%3Asearch%7Cquery_from%3A,130.67,91.47,4.8,700+ sold,https://ae-pic-a1.aliexpress-media.com/kf/A88b58815989b46cb97f1d26fb2daacf7H.jpg_480x480q75.jpg_.avif,2025-08-06T10:42:21.579069
